2021-03-28 22:44:35,447 INFO: Binance Trader v0.0.2
2021-03-28 22:44:36,016 INFO: XRP balance: 0.0
2021-03-28 22:44:36,016 INFO: USDT balance: 10000.0
2021-03-28 22:44:36,018 INFO: XRP balance: 0.0
2021-03-28 22:44:36,018 INFO: USDT balance: 10000.0
2021-03-28 22:44:36,020 INFO: XRP balance: 0.0
2021-03-28 22:44:36,020 INFO: USDT balance: 10000.0
2021-03-28 22:44:57,367 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54417 IFTSTOCH: 0.7329475710284716
2021-03-28 22:44:58,044 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54409 IFTSTOCH: 0.6516747963238332
2021-03-28 22:44:58,642 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54409 IFTSTOCH: 0.6516747963238332
2021-03-28 22:44:58,917 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54411 IFTSTOCH: 0.6736631608999997
2021-03-28 22:44:59,593 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54411 IFTSTOCH: 0.6736631608999997
2021-03-28 22:44:59,996 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54411 IFTSTOCH: 0.6736631608999997
2021-03-28 22:45:00,271 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54411 IFTSTOCH: 0.6736631608999997
2021-03-28 22:45:00,926 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54419 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:01,541 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54419 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:01,701 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54419 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:02,508 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54419 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:02,911 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54419 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:03,048 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54419 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:03,858 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54427 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:04,460 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54427 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:04,591 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54427 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:05,202 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54422 IFTSTOCH: 0.9510365447451665
2021-03-28 22:45:05,808 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54426 IFTSTOCH: 0.9575239971179828
2021-03-28 22:45:05,939 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54426 IFTSTOCH: 0.9575239971179828
2021-03-28 22:45:06,529 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54426 IFTSTOCH: 0.9575239971179828
2021-03-28 22:45:07,155 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54434 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:07,285 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54434 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:07,859 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54434 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:08,493 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54434 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:08,634 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54434 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:09,222 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54434 IFTSTOCH: 0.9590097453189201
2021-03-28 22:45:09,980 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.5442 IFTSTOCH: 0.9346691700268317
2021-03-28 22:45:10,048 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.5442 IFTSTOCH: 0.9346691700268317
2021-03-28 22:45:10,544 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.5442 IFTSTOCH: 0.9346691700268317
2021-03-28 22:45:11,384 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54418 IFTSTOCH: 0.93020718092124
2021-03-28 22:45:11,390 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54418 IFTSTOCH: 0.93020718092124
2021-03-28 22:45:11,881 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54408 IFTSTOCH: 0.9031379132959119
2021-03-28 22:45:12,741 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.5441 IFTSTOCH: 0.9092491270628483
2021-03-28 22:45:12,934 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.5441 IFTSTOCH: 0.9092491270628483
2021-03-28 22:45:13,231 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.5441 IFTSTOCH: 0.9092491270628483
2021-03-28 22:45:14,090 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54426 IFTSTOCH: 0.9464608958262034
2021-03-28 22:45:14,319 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54426 IFTSTOCH: 0.9464608958262034
2021-03-28 22:45:14,579 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54426 IFTSTOCH: 0.9464608958262034
2021-03-28 22:45:15,419 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54418 IFTSTOCH: 0.93020718092124
2021-03-28 22:45:15,638 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.5443 IFTSTOCH: 0.9531436026328899
2021-03-28 22:45:15,914 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.5443 IFTSTOCH: 0.9531436026328899
2021-03-28 22:45:16,760 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.5443 IFTSTOCH: 0.9531436026328899
2021-03-28 22:45:17,005 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.5443 IFTSTOCH: 0.9531436026328899
2021-03-28 22:45:17,263 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.5443 IFTSTOCH: 0.9531436026328899
